id;numero;nom_rue;nom_complet;secteur maternelle;secteur elementaire
1;13;RUE BERTHELOT;13 RUE BERTHELOT;Maternelle Simone Veil;Elémentaire Jules Ferry
2;5;RUE BERTHELOT;5 BIS RUE BERTHELOT;Maternelle Simone Veil;Elémentaire Jules Ferry
3;8;RUE BERTHELOT;8 BIS RUE BERTHELOT;Maternelle Simone Veil;Elémentaire Jules Ferry
4;9;RUE BERTHELOT;9 RUE BERTHELOT;Maternelle Simone Veil;Elémentaire Jules Ferry
5;11;RUE CARNOT;11 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
6;2;RUE CARNOT;2 BIS RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
7;2;RUE CARNOT;2 TER RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
8;4;RUE CARNOT;4 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
9;4;AVENUE GEORGES POMPIDOU;4 AVENUE GEORGES POMPIDOU;;
10;158;RUE GAMBETTA;158 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
11;8;RUE DU BAC;8 RUE DU BAC;Maternelle Simone Veil;Elémentaire Jules Ferry
12;39;RUE ALBERT CARON;39 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
13;5;RUE ALBERT CARON;5 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
14;40;RUE CARNOT;40 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
15;21;RUE BENOIT MALON;21 RUE BENOIT MALON;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
16;23;RUE BENOIT MALON;23 RUE BENOIT MALON;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
17;25;RUE BENOIT MALON;25 RUE BENOIT MALON;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
18;2;RUE BENOIT MALON;2 BIS RUE BENOIT MALON;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
19;3;RUE BENOIT MALON;3 RUE BENOIT MALON;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
20;4;RUE BENOIT MALON;4 RUE BENOIT MALON;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
21;7;RUE DES PUITS;7 RUE DES PUITS;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
22;8;RUE DES BOCHOUX;8 RUE DES BOCHOUX;Maternelle des Cottages;Elémentaire des Cottages
23;26;IMPASSE DES SOMMELIERS DE LA GROUE;26 BIS IMPASSE DES SOMMELIERS DE LA GROUE;Maternelle République;Elémentaire Parc
24;34;RUE DES FLEURS;34 RUE DES FLEURS;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
25;1;IMPASSE DES SOMMELIERS DE LA GROUE;1 IMPASSE DES SOMMELIERS DE LA GROUE;Maternelle République;Elémentaire Parc
26;30;CHEMIN DU SYNDICAT DES CULTIVATEURS;30 CHEMIN DU SYNDICAT DES CULTIVATEURS;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
27;67;RUE DES NOUVELLES;67 RUE DES NOUVELLES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
28;23;AVENUE DE LA FONTAINE DU TERTRE;23 AVENUE DE LA FONTAINE DU TERTRE;Maternelle Marcel Mouloudji;
29;4;RUE DES ACQUEVILLES;4 RUE DES ACQUEVILLES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
30;48;RUE DES PARIGOTS;48 RUE DES PARIGOTS;Maternelle des Cottages;Elémentaire des Cottages
31;169;RUE DE VERDUN;169 BIS RUE DE VERDUN;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
32;12;RUE DE LA GAUCHERE;12 RUE DE LA GAUCHERE;Maternelle Simone Veil;Elémentaire Jules Ferry
33;38;RUE DES MOULINEAUX;38 RUE DES MOULINEAUX;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
34;34;RUE CARNOT;34 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
35;38;RUE CARNOT;38 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
36;8;RUE DES VELETTES;8 RUE DES VELETTES;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
37;128;RUE DE LA REPUBLIQUE;128 RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
38;78;RUE DES COUVALOUX;78 RUE DES COUVALOUX;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
39;70;RUE DE LA PROCESSION;70 RUE DE LA PROCESSION;Maternelle des Raguidelles;Elémentaire des Raguidelles
40;34;RUE DES BOURETS;34 RUE DES BOURETS;Maternelle Simone Veil;Elémentaire Jules Ferry
41;6;CITE DANTON;6 CITE DANTON;;
42;21;RUE DANTON;21 RUE DANTON;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
43;29;RUE DANTON;29 RUE DANTON;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
44;8;RUE DANTON;8 RUE DANTON;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
45;43;RUE CARNOT;43 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
46;45;RUE CARNOT;45 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
47;56;RUE CARNOT;56 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
48;58;RUE CARNOT;58 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
49;59;RUE CARNOT;59 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
50;68;RUE CARNOT;68 BIS RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
51;80;RUE CARNOT;80 RUE CARNOT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
52;86;RUE CARNOT;86 RUE CARNOT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
53;88;RUE CARNOT;88 RUE CARNOT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
54;90;RUE CARNOT;90 RUE CARNOT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
55;92;RUE CARNOT;92 RUE CARNOT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
56;6;RUE DE LA CERISAIE;6 RUE DE LA CERISAIE;Maternelle Simone Veil;Elémentaire Jules Ferry
57;18;DOMAINE DES HOCQUETTES;18 DOMAINE DES HOCQUETTES;Maternelle des Raguidelles;Elémentaire des Raguidelles
58;25;RUE DES BONS RAISINS;25 RUE DES BONS RAISINS;Maternelle des Raguidelles;Elémentaire des Raguidelles
59;36;RUE DES CARRIERES;36 RUE DES CARRIERES;Maternelle des Raguidelles;Elémentaire des Raguidelles
60;18;RUE DU PAS SAINT-MAURICE;18 RUE DU PAS SAINT-MAURICE;;Elémentaire Vaillant Jaurès
61;42;RUE CARNOT;42 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
62;5;RUE CARNOT;5 RUE CARNOT;Maternelle Simone Veil;Elémentaire Jules Ferry
63;32;RUE DU DOCTEUR MARC BOMBIGER;32 RUE DU DOCTEUR MARC BOMBIGER;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
64;18;RUE DES FLEURS;18 RUE DES FLEURS;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
65;5;RUE DU COMMANDANT RIVIERE;5 RUE DU COMMANDANT RIVIERE;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
66;26;RUE DU FECHERAY;26 RUE DU FECHERAY;Maternelle des Cottages;Elémentaire des Cottages
67;36;RUE MERLIN DE THIONVILLE;36 RUE MERLIN DE THIONVILLE;Maternelle Simone Veil;Elémentaire Jules Ferry
68;25;RUE MERLIN DE THIONVILLE;25 RUE MERLIN DE THIONVILLE;Maternelle Simone Veil;Elémentaire Jules Ferry
69;43;RUE DES CARRIERES;43 RUE DES CARRIERES;Maternelle des Raguidelles;Elémentaire des Raguidelles
70;6;RUE CARNOT;6 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
71;11;RUE ALBERT CARON;11 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
72;53;RUE ALBERT CARON;53 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
73;5;RUE DU RATRAIT;5 RUE DU RATRAIT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
74;34;AVENUE DE FOUILLEUSE;34 AVENUE DE FOUILLEUSE;Maternelle des Raguidelles;Elémentaire des Raguidelles
75;34;RUE DES BONS RAISINS;34 RUE DES BONS RAISINS;Maternelle des Raguidelles;Elémentaire des Raguidelles
76;4;CHEMIN DE LA MOTTE;4 CHEMIN DE LA MOTTE;Maternelle des Raguidelles;Elémentaire des Raguidelles
77;25;RUE DE LA TUILERIE;25 RUE DE LA TUILERIE;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
78;11;AVENUE EDOUARD VAILLANT;11 AVENUE EDOUARD VAILLANT;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
79;14;RUE EDOUARD NIEUPORT;14 RUE EDOUARD NIEUPORT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
80;14;RUE EDOUARD NIEUPORT;14 BIS RUE EDOUARD NIEUPORT;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
81;4;RUE EDOUARD NIEUPORT;4 RUE EDOUARD NIEUPORT;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
82;8;RUE EDOUARD NIEUPORT;8 RUE EDOUARD NIEUPORT;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
83;10;RUE EMILE DUCLAUX;10 RUE EMILE DUCLAUX;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
84;150;RUE GAMBETTA;150 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
85;146;RUE GAMBETTA;146 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
86;73;RUE DES CHENES;73 RUE DES CHENES;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
87;138;RUE GAMBETTA;138 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
88;14;RUE DES CHENES;14 RUE DES CHENES;Maternelle des Cottages;Elémentaire des Cottages
89;19;AVENUE EDOUARD VAILLANT;19 AVENUE EDOUARD VAILLANT;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
90;8;RUE CARNOT;8 RUE CARNOT;Maternelle Honoré d'Estienne d'Orves;Elémentaire Honoré d'Estienne d'Orves
91;1;RUE CHARLES PEGUY;1 RUE CHARLES PEGUY;Maternelle Simone Veil;Elémentaire Jules Ferry
92;1;COURS MADELEINE;1 COURS MADELEINE;Maternelle Simone Veil;Elémentaire Jules Ferry
93;26;RUE DESBASSAYNS DE RICHEMONT;26 RUE DESBASSAYNS DE RICHEMONT;Maternelle Simone Veil;Elémentaire Jules Ferry
94;1;AVENUE D'ESTOURNELLES DE CONSTANT;1 AVENUE D'ESTOURNELLES DE CONSTANT;;Elémentaire Marcel Mouloudji
95;13;RUE EMILIEN COLIN;13 RUE EMILIEN COLIN;Maternelle des Cottages;Elémentaire des Cottages
96;1;AVENUE JEAN JAURES;1 AVENUE JEAN JAURES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
97;12;PLACE DE STALINGRAD;12 PLACE DE STALINGRAD;Maternelle Wilson;Elémentaire Vaillant Jaurès
98;64;RUE ALBERT CARON;64 RUE ALBERT CARON;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
99;10;RUE FLORENT DANCOURT;10 RUE FLORENT DANCOURT;Maternelle Wilson;Elémentaire Vaillant Jaurès
100;3;RUE FLORENT DANCOURT;3 RUE FLORENT DANCOURT;Maternelle Wilson;Elémentaire Vaillant Jaurès
101;69;RUE DE LA LIBERTE;69 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
102;20;RUE EMILIEN COLIN;20 RUE EMILIEN COLIN;Maternelle des Cottages;Elémentaire des Cottages
103;5;AVENUE D'ESTOURNELLES DE CONSTANT;5 AVENUE D'ESTOURNELLES DE CONSTANT;;Elémentaire Marcel Mouloudji
104;42;RUE DE LA LIBERTE;42 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
105;7;RUE EMILE DUCLAUX;7 TER RUE EMILE DUCLAUX;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
106;9;RUE EMILE DUCLAUX;9 BIS RUE EMILE DUCLAUX;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
107;10;RUE DES BARTOUX;10 RUE DES BARTOUX;Maternelle des Cottages;Elémentaire des Cottages
108;8;RUE DU TERTRE;8 RUE DU TERTRE;Maternelle des Raguidelles;Elémentaire des Raguidelles
109;32;RUE DESBASSAYNS DE RICHEMONT;32 RUE DESBASSAYNS DE RICHEMONT;Maternelle Simone Veil;Elémentaire Jules Ferry
110;33;RUE DESBASSAYNS DE RICHEMONT;33 RUE DESBASSAYNS DE RICHEMONT;Maternelle Simone Veil;Elémentaire Jules Ferry
111;11;RUE DU PAS SAINT-MAURICE;11 RUE DU PAS SAINT-MAURICE;;Elémentaire Vaillant Jaurès
112;34;RUE DESBASSAYNS DE RICHEMONT;34 RUE DESBASSAYNS DE RICHEMONT;Maternelle Simone Veil;Elémentaire Jules Ferry
113;13;RUE DE LA PROCESSION;13 RUE DE LA PROCESSION;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
114;31;CHEMIN DES ROSES;31 CHEMIN DES ROSES;Maternelle des Raguidelles;Elémentaire des Raguidelles
115;36;RUE DESBASSAYNS DE RICHEMONT;36 RUE DESBASSAYNS DE RICHEMONT;Maternelle Simone Veil;Elémentaire Jules Ferry
116;38;RUE DESBASSAYNS DE RICHEMONT;38 RUE DESBASSAYNS DE RICHEMONT;Maternelle Simone Veil;Elémentaire Jules Ferry
117;2;RUE DIDEROT;2 BIS RUE DIDEROT;Maternelle Simone Veil;Elémentaire Jules Ferry
118;4;RUE DIDEROT;4 BIS RUE DIDEROT;Maternelle Simone Veil;Elémentaire Jules Ferry
119;11;RUE GABRIEL PHILIPPE;11 TER RUE GABRIEL PHILIPPE;Maternelle des Cottages;Elémentaire des Cottages
120;10;RUE DE LA CERISAIE;10 BIS RUE DE LA CERISAIE;Maternelle Simone Veil;Elémentaire Jules Ferry
121;40;RUE DU PAS SAINT-MAURICE;40 RUE DU PAS SAINT-MAURICE;;Elémentaire Vaillant Jaurès
122;22;RUE DE SEVRES;22 RUE DE SEVRES;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
123;2;RUE DE LA TERRASSE;2 RUE DE LA TERRASSE;Maternelle des Cottages;Elémentaire des Cottages
124;25;RUE DE LA CERISAIE;25 RUE DE LA CERISAIE;Maternelle Simone Veil;Elémentaire Jules Ferry
125;21;AVENUE FRANKLIN ROOSEVELT;21 AVENUE FRANKLIN ROOSEVELT;Maternelle des Cottages;Elémentaire des Cottages
126;27;AVENUE FRANKLIN ROOSEVELT;27 AVENUE FRANKLIN ROOSEVELT;Maternelle des Cottages;Elémentaire des Cottages
127;1000;RUE FREDERIC CLAVEL;1000 RUE FREDERIC CLAVEL;Maternelle République;Elémentaire Parc
128;1000;RUE FREDERIC CLAVEL;1000 TER RUE FREDERIC CLAVEL;Maternelle République;Elémentaire Parc
129;26;RUE FREDERIC CLAVEL;26 RUE FREDERIC CLAVEL;Maternelle République;Elémentaire Parc
130;2;RUE GABRIEL PHILIPPE;2 RUE GABRIEL PHILIPPE;Maternelle des Cottages;Elémentaire des Cottages
131;3;RUE GABRIEL PHILIPPE;3 RUE GABRIEL PHILIPPE;Maternelle des Cottages;Elémentaire des Cottages
132;31;QUAI GALLIENI;31 QUAI GALLIENI;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
133;33;QUAI GALLIENI;33 QUAI GALLIENI;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
134;72;RUE VOLTAIRE;72 RUE VOLTAIRE;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
135;4;RUE DIDEROT;4 TER RUE DIDEROT;Maternelle Simone Veil;Elémentaire Jules Ferry
136;10;RUE EMILE ZOLA;10 RUE EMILE ZOLA;Maternelle Simone Veil;Elémentaire Jules Ferry
137;12;RUE EMILE ZOLA;12 RUE EMILE ZOLA;Maternelle Simone Veil;Elémentaire Jules Ferry
138;2;RUE EMILE ZOLA;2 RUE EMILE ZOLA;Maternelle Simone Veil;Elémentaire Jules Ferry
139;3;RUE EMILE ZOLA;3 RUE EMILE ZOLA;Maternelle Simone Veil;Elémentaire Jules Ferry
140;19;RUE GARIBALDI;19 RUE GARIBALDI;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
141;1;RUE GROTIUS;1 RUE GROTIUS;Maternelle Wilson;Elémentaire Vaillant Jaurès
142;41;RUE EMILE ZOLA;41 RUE EMILE ZOLA;Maternelle Simone Veil;Elémentaire Jules Ferry
143;156;RUE GAMBETTA;156 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
144;14;RUE ETIENNE DOLET;14 RUE ETIENNE DOLET;Maternelle Simone Veil;Elémentaire Jules Ferry
145;29;RUE LEDRU ROLLIN;29 BIS RUE LEDRU ROLLIN;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
146;5;SQUARE DE LA CONCORDE;5 SQUARE DE LA CONCORDE;Maternelle Wilson;Elémentaire Vaillant Jaurès
147;152;RUE GAMBETTA;152 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
148;56;RUE DES NOUVELLES;56 RUE DES NOUVELLES;Maternelle des Raguidelles;Elémentaire des Raguidelles
149;25;RUE DE LOCARNO;25 RUE DE LOCARNO;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
150;8;RUE DES VIGNES;8 RUE DES VIGNES;Maternelle des Raguidelles;Elémentaire des Raguidelles
151;50;RUE DE LA REPUBLIQUE;50 RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
152;16;RUE ETIENNE DOLET;16 RUE ETIENNE DOLET;Maternelle Simone Veil;Elémentaire Jules Ferry
153;20;RUE ETIENNE DOLET;20 RUE ETIENNE DOLET;Maternelle Simone Veil;Elémentaire Jules Ferry
154;22;RUE ETIENNE DOLET;22 RUE ETIENNE DOLET;Maternelle Simone Veil;Elémentaire Jules Ferry
155;7;RUE ETIENNE DOLET;7 RUE ETIENNE DOLET;Maternelle Simone Veil;Elémentaire Jules Ferry
156;7;PLACE PUITS D'AMOUR;7 PLACE PUITS D'AMOUR;;Elémentaire Jules Ferry
157;3;AVENUE DU MARECHAL JUIN;3 AVENUE DU MARECHAL JUIN;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
158;64;RUE DE LA PROCESSION;64 RUE DE LA PROCESSION;Maternelle des Raguidelles;Elémentaire des Raguidelles
159;1;RUE GUILLAUME LENOIR;1 BIS RUE GUILLAUME LENOIR;Maternelle des Cottages;Elémentaire des Cottages
160;5;RUE GROTIUS;5 RUE GROTIUS;Maternelle Wilson;Elémentaire Vaillant Jaurès
161;22;RUE HENRI REGNAULT;22 RUE HENRI REGNAULT;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
162;11;BOULEVARD HENRI SELLIER;11 BOULEVARD HENRI SELLIER;Maternelle République;Elémentaire Parc
163;13;BOULEVARD HENRI SELLIER;13 BOULEVARD HENRI SELLIER;Maternelle République;Elémentaire Parc
164;137;BOULEVARD HENRI SELLIER;137 BIS BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
165;139;BOULEVARD HENRI SELLIER;139 BIS BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
166;9;RUE ETIENNE DOLET;9 RUE ETIENNE DOLET;Maternelle Simone Veil;Elémentaire Jules Ferry
167;3;RUE FIZEAU;3 RUE FIZEAU;Maternelle Simone Veil;Elémentaire Jules Ferry
168;17;AVENUE FRANKLIN ROOSEVELT;17 AVENUE FRANKLIN ROOSEVELT;Maternelle Simone Veil;Elémentaire Jules Ferry
169;34;AVENUE FRANKLIN ROOSEVELT;34 BIS AVENUE FRANKLIN ROOSEVELT;Maternelle Simone Veil;Elémentaire Jules Ferry
170;34;AVENUE FRANKLIN ROOSEVELT;34 TER AVENUE FRANKLIN ROOSEVELT;Maternelle Simone Veil;Elémentaire Jules Ferry
171;5;AVENUE GABRIEL PERI;5 AVENUE GABRIEL PERI;Maternelle Simone Veil;Elémentaire Jules Ferry
172;19;QUAI GALLIENI;19 QUAI GALLIENI;Maternelle Simone Veil;Elémentaire Jules Ferry
173;20;QUAI GALLIENI;20 QUAI GALLIENI;Maternelle Simone Veil;Elémentaire Jules Ferry
174;21;QUAI GALLIENI;21 QUAI GALLIENI;Maternelle Simone Veil;Elémentaire Jules Ferry
175;7;QUAI GALLIENI;7 QUAI GALLIENI;Maternelle Simone Veil;Elémentaire Jules Ferry
176;2;RUE GUSTAVE FLOURENS;2 RUE GUSTAVE FLOURENS;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
177;35;BOULEVARD HENRI SELLIER;35 BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
178;37;BOULEVARD HENRI SELLIER;37 BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
179;55;BOULEVARD HENRI SELLIER;55 TER BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
180;63;BOULEVARD HENRI SELLIER;63 BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
181;21;RUE HUCHE;21 RUE HUCHE;Maternelle des Cottages;Elémentaire des Cottages
182;26;RUE HUCHE;26 RUE HUCHE;Maternelle des Cottages;Elémentaire des Cottages
183;14;RUE HONORE D'ESTIENNE D'ORVES;14 RUE HONORE D'ESTIENNE D'ORVES;Maternelle Simone Veil;
184;16;RUE HONORE D'ESTIENNE D'ORVES;16 RUE HONORE D'ESTIENNE D'ORVES;Maternelle Simone Veil;
185;18;RUE HONORE D'ESTIENNE D'ORVES;18 RUE HONORE D'ESTIENNE D'ORVES;Maternelle Simone Veil;
186;148;RUE GAMBETTA;148 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
187;27;RUE DE LA TUILERIE;27 RUE DE LA TUILERIE;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
188;4;RUE GUSTAVE FLOURENS;4 RUE GUSTAVE FLOURENS;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
189;13;RUE DU TERTRE;13 RUE DU TERTRE;Maternelle des Raguidelles;Elémentaire des Raguidelles
190;2;PLACE HENRI IV;2 PLACE HENRI IV;Maternelle Simone Veil;Elémentaire Jules Ferry
191;23;PLACE HENRI IV;23 PLACE HENRI IV;Maternelle Simone Veil;Elémentaire Jules Ferry
192;4;PLACE HENRI IV;4 PLACE HENRI IV;Maternelle Simone Veil;Elémentaire Jules Ferry
193;6;PLACE HENRI IV;6 PLACE HENRI IV;Maternelle Simone Veil;Elémentaire Jules Ferry
194;7;PLACE HENRI IV;7 PLACE HENRI IV;Maternelle Simone Veil;Elémentaire Jules Ferry
195;2;BOULEVARD HENRI SELLIER;2 BOULEVARD HENRI SELLIER;Maternelle Simone Veil;Elémentaire Jules Ferry
196;24;BOULEVARD HENRI SELLIER;24 BOULEVARD HENRI SELLIER;Maternelle Simone Veil;Elémentaire Jules Ferry
197;32;BOULEVARD HENRI SELLIER;32 BOULEVARD HENRI SELLIER;Maternelle Simone Veil;Elémentaire Jules Ferry
198;6;BOULEVARD HENRI SELLIER;6 BOULEVARD HENRI SELLIER;Maternelle Simone Veil;Elémentaire Jules Ferry
199;1;RUE JACQUES DECOUR;1 RUE JACQUES DECOUR;Maternelle des Cottages;Elémentaire des Cottages
200;1000;AVENUE JEAN JAURES;1000 AVENUE JEAN JAURES;Maternelle Wilson;Elémentaire Vaillant Jaurès
201;1;ALLEE JEAN-BAPTISTE LULLY;1 ALLEE JEAN-BAPTISTE LULLY;;Elémentaire Marcel Mouloudji
202;10;ALLEE JEAN-BAPTISTE LULLY;10 ALLEE JEAN-BAPTISTE LULLY;;Elémentaire Marcel Mouloudji
203;3;ALLEE JEAN-BAPTISTE LULLY;3 ALLEE JEAN-BAPTISTE LULLY;;Elémentaire Marcel Mouloudji
204;14;RUE JEAN-JACQUES ROUSSEAU;14 BIS RUE JEAN-JACQUES ROUSSEAU;;Elémentaire Vaillant Jaurès
205;32;RUE JEAN-JACQUES ROUSSEAU;32 BIS RUE JEAN-JACQUES ROUSSEAU;;Elémentaire Vaillant Jaurès
206;45;RUE JEAN-JACQUES ROUSSEAU;45 RUE JEAN-JACQUES ROUSSEAU;;Elémentaire Vaillant Jaurès
207;53;RUE JEAN-JACQUES ROUSSEAU;53 RUE JEAN-JACQUES ROUSSEAU;;Elémentaire Vaillant Jaurès
208;77;RUE JEAN-JACQUES ROUSSEAU;77 RUE JEAN-JACQUES ROUSSEAU;;Elémentaire Vaillant Jaurès
209;8;RUE JEAN-JACQUES ROUSSEAU;8 RUE JEAN-JACQUES ROUSSEAU;;Elémentaire Vaillant Jaurès
210;34;RUE JACQUES DECOUR;34 BIS RUE JACQUES DECOUR;Maternelle des Cottages;Elémentaire des Cottages
211;1;RUE HONORE D'ESTIENNE D'ORVES;1 BIS RUE HONORE D'ESTIENNE D'ORVES;Maternelle Simone Veil;
212;11; ESPLANADE JACQUES CHIRAC;11 ESPLANADE JACQUES CHIRAC;;
213;22; ESPLANADE JACQUES CHIRAC;22 ESPLANADE JACQUES CHIRAC;;
214;4;ESPLANADE JACQUES CHIRAC;4 ESPLANADE JACQUES CHIRAC;Maternelle Simone Veil;Elémentaire Jules Ferry
215;12;RUE JULES FERRY;12 RUE JULES FERRY;Maternelle Simone Veil;Elémentaire Jules Ferry
216;4;ALLEE JULES FERRY;4 ALLEE JULES FERRY;Maternelle Simone Veil;Elémentaire Jules Ferry
217;5;RUE JULES FERRY;5 RUE JULES FERRY;Maternelle Simone Veil;Elémentaire Jules Ferry
218;5;ALLEE JULES FERRY;5 ALLEE JULES FERRY;Maternelle Simone Veil;Elémentaire Jules Ferry
219;1;RUE LEDRU ROLLIN;1 RUE LEDRU ROLLIN;Maternelle Simone Veil;Elémentaire Jules Ferry
220;29;AVENUE DU GENERAL DE GAULLE;29 AVENUE DU GENERAL DE GAULLE;;Elémentaire des Raguidelles
221;6;RUE JEAN MACE;6 RUE JEAN MACE;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
222;136;RUE GAMBETTA;136 RUE GAMBETTA;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
